season,player_name,player_team,player_age,player_height_raw,Weight,player_college,player_country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
2025,Odyssey Sims,IND,33,5-8,155,Baylor,USA,24,10.1,2.4,3.8,2.2,1.60%,7.50%,17.80%,50.60%,21.30%
2025,Olivia Nelson-Ododa,CON,25,6-5,176,Connecticut,USA,37,8.2,5,0.9,-10,7.50%,16.70%,16.90%,57.80%,8.00%
2025,Paige Bueckers,DAL,24,6-0,-,Connecticut,USA,36,19.2,3.9,5.4,-3.7,2.00%,10.20%,24.10%,56.70%,29.50%
2025,Rachel Banham,CHI,32,5-10,181,Minnesota,USA,44,9,1.7,2.7,-15.1,0.60%,6.30%,17.40%,54.40%,19.30%
2025,Rae Burrell,LAS,25,6-2,168,Tennessee,USA,28,7.5,2.3,1.2,-0.5,3.50%,8.70%,17.90%,53.10%,10.30%
2025,Rayah Marshall,CON,22,6-4,-,USC,,15,1.7,1.7,0.3,4.3,7.90%,20.20%,17.10%,40.00%,8.30%
2025,Rebecca Allen,CHI,33,6-2,162,None,Australia,44,5.1,2.6,1.3,-14.8,2.00%,11.60%,15.10%,44.40%,11.90%
2025,Rebekah Gardner,NYL,35,6-1,130,UCLA,USA,41,3.7,1.8,0.6,4.3,5.70%,8.70%,12.80%,62.40%,8.30%
2025,Rhyne Howard,ATL,26,6-2,175,Kentucky,USA,33,17.5,4.5,4.6,10.3,2.60%,10.20%,22.90%,52.40%,22.60%
2025,Rickea Jackson,LAS,25,6-2,175,Tennessee,USA,38,14.7,3.2,1.7,-4.7,3.40%,7.10%,22.10%,53.00%,9.20%
2025,Robyn Parks,CON,33,6-1,170,Va Commonwealth,USA,6,0.3,1.5,0.3,-6.8,1.50%,13.30%,3.90%,20.00%,5.10%
2025,Sabrina Ionescu,NYL,28,5-11,165,Oregon,USA,38,18.2,4.9,5.7,6.3,2.60%,12.10%,27.30%,53.70%,31.80%
2025,Sami Whitcomb,PHX,37,5-10,149,Washington,Australia,43,9.1,2.6,2.5,5.1,1.50%,9.50%,17.50%,54.40%,16.20%
2025,Sania Feagin,LAS,23,6-3,-,South Carolina,,16,1.3,0.7,0.3,-18.9,3.90%,10.30%,19.80%,34.60%,8.70%
2025,Saniya Rivers,CON,23,6-1,-,North Carolina State,,42,8.8,2.8,2.7,-12.5,2.60%,8.80%,17.30%,49.50%,18.30%
