season,player_name,team,season_type,stat,stat_with_player_on,stat_with_player_off,difference_with_playeron_vs_playeroff
2023,Natasha Cloud,WAS,regular season,Pts per 100 Possessions,101.555,100.625,0.93
2023,Natasha Cloud,WAS,regular season,Assist Points per 100 Possessions,58.218,55.5,2.72
2023,Natasha Cloud,WAS,regular season,FTA per 100 Possessions,22.993,22.625,0.37
2023,Natasha Cloud,WAS,regular season,TOs per 100 Possessions,15.721,19.25,-3.53
2023,Natasha Cloud,WAS,regular season,Assists per 100 Possessions,24.59,22.875,1.72
2023,Natasha Cloud,WAS,regular season,Pts per 100 Possessions - Defense,102.281,102.133,0.15
2023,Natasha Cloud,WAS,regular season,Shot Quality - Defense,0.487,0.483,0
2023,Natasha Cloud,WAS,regular season,3pt FG% - Defense,0.337,0.366,-0.03
2023,Natasha Cloud,WAS,regular season,2pt FG% - Defense,0.479,0.502,-0.02
2023,Natasha Cloud,WAS,regular season,eFG% - Defense,0.488,0.52,-0.03
2023,Natasha Cloud,WAS,regular season,3PAr - Defense,0.343,0.37,-0.03
2023,Natasha Cloud,WAS,regular season,At Rim Shot Frequency - Defense,0.237,0.236,0
2023,Natasha Cloud,WAS,regular season,At Rim FG% - Defense,0.652,0.739,-0.09
2023,Natasha Cloud,WAS,regular season,Short Mid Range Shot Frequency - Defense,0.271,0.247,0.02
2023,Natasha Cloud,WAS,regular season,Short Mid Range FG% - Defense,0.394,0.384,0.01
2023,Natasha Cloud,WAS,regular season,Long Mid Range Shot Frequency - Defense,0.149,0.146,0
2023,Natasha Cloud,WAS,regular season,Long Mid Range FG% - Defense,0.362,0.32,0.04
2023,Natasha Cloud,WAS,regular season,Corner 3 Shot Frequency - Defense,0.073,0.074,0
2023,Natasha Cloud,WAS,regular season,Corner 3 FG% - Defense,0.427,0.429,0
2023,Natasha Cloud,WAS,regular season,Arc 3 Shot Frequency - Defense,0.27,0.297,-0.03
2023,Natasha Cloud,WAS,regular season,Arc 3 FG% - Defense,0.313,0.35,-0.04
2023,Natasha Cloud,WAS,regular season,Pace,95.407,93.226,2.18
2023,Natasha Cloud,WAS,regular season,Second Chance Efficiency,114.692,109.89,4.8
2023,Natasha Cloud,WAS,regular season,Penalty Efficiency,100.384,91.556,8.83
2023,Natasha Cloud,WAS,regular season,Second Chance Possessions Per 100 Possessions,8.869,11.375,-2.51
2023,Natasha Cloud,WAS,regular season,First Chance Points Per 100 Possessions,91.383,88.125,3.26
2023,Natasha Cloud,WAS,regular season,Second Chance Points Per 100 Possessions,10.172,12.5,-2.33
