player_id,player_name,player_name_key,season,player_team,position_full,position,jersey_number,player_age,age_2026,player_height_raw,height_inches,weight_lbs,player_college,player_country,gp_2025,pts_2025,reb_2025,ast_2025,net_rtg_2025,oreb_pct,dreb_pct,usage_pct_bio,ts_pct_bio,ast_pct_bio
1629490,Kitija Laksa,kitijalaksa,2025,PHX,Guard,G,9,29.0,30.0,6-1,73.0,,South Florida,Latvia,33.0,5.9,1.2,0.6,-7.6,0.016,0.045,0.144,0.505,0.0559999999999999
1642768,Kyara Linskens,kyaralinskens,2025,GSV,Center,C,TBD,29.0,30.0,6-4,76.0,,,Belgium,4.0,1.0,1.5,0.3,14.8,0.033,0.152,0.106,0.4,0.059
,Kyra Lambert,kyralambert,2025,IND,Guard,G,TBD,29.0,30.0,5-9,69.0,,Texas,USA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641656,Laeticia Amihere,laeticiaamihere,2025,GSV,Forward,F,3,24.0,25.0,6-3,75.0,185.0,South Carolina,Canada,29.0,5.4,4.3,0.9,-1.2,0.091,0.225,0.1969999999999999,0.55,0.136
player:leila_lacan__connecticut_sun,Leila Lacan,leilalacan,2025,CON,Guard,G,47,21.0,22.0,5-11,71.0,,,France,25.0,10.4,2.4,3.7,-0.5,0.026,0.07,0.185,0.5479999999999999,0.239
1630142,Leonie Fiebich,leoniefiebich,2025,NYL,Forward,F,13,26.0,27.0,6-4,76.0,,,Germany,37.0,8.7,3.5,1.7,7.2,0.024,0.0969999999999999,0.127,0.6459999999999999,0.0969999999999999
1631118,Lexi Held,lexiheld,2025,PHX,Guard,G,1,26.0,27.0,5-10,70.0,150.0,DePaul,USA,32.0,5.3,1.1,1.1,-6.9,0.022,0.05,0.182,0.489,0.135
1628882,Lexie Brown,lexiebrown,2025,SEA,Guard,G,8,31.0,32.0,5-9,69.0,162.0,Duke,USA,24.0,2.1,0.7,1.0,0.7,0.009,0.066,0.114,0.487,0.151
1631086,Lexie Hull,lexiehull,2025,IND,Guard,G,10,26.0,27.0,6-1,73.0,155.0,Stanford,USA,44.0,7.2,4.3,1.8,6.4,0.053,0.113,0.129,0.503,0.096
1629574,Li Yueru,liyueru,2025,DAL,Center,C,28,27.0,28.0,6-7,79.0,,,China,31.0,6.0,4.5,0.9,-2.9,0.094,0.177,0.1669999999999999,0.534,0.089
1642820,Liatu King,liatuking,2025,DAL,Forward,F,TBD,24.0,25.0,6-0,72.0,,Notre Dame,,14.0,2.7,2.1,0.3,-5.7,0.106,0.125,0.133,0.565,0.048
1628263,Lindsay Allen,lindsayallen,2025,CON,Guard,G,15,31.0,32.0,5-8,68.0,145.0,Notre Dame,USA,31.0,2.4,1.0,2.0,-14.8,0.019,0.052,0.105,0.493,0.2189999999999999
1642802,Lucy Olsen,lucyolsen,2025,WAS,Guard,G,33,22.0,23.0,5-10,70.0,,Iowa,,41.0,4.0,1.2,1.2,-13.0,0.022,0.08,0.157,0.496,0.17
1630143,Luisa Geiselsoder,luisageiselsoder,2025,DAL,Center,C,18,26.0,27.0,6-4,76.0,,,Germany,28.0,6.9,4.8,1.6,-9.5,0.036,0.182,0.144,0.522,0.115
1642307,Mackenzie Holmes,mackenzieholmes,2025,SEA,Forward,F,54,25.0,26.0,6-3,75.0,,Indiana,USA,10.0,1.0,0.9,0.2,-25.4,0.059,0.128,0.0559999999999999,0.7140000000000001,0.065
1641652,Maddy Siegrist,maddysiegrist,2025,DAL,Forward,F,20,25.0,26.0,6-2,74.0,175.0,Villanova,USA,26.0,12.7,4.3,0.8,-6.7,0.067,0.086,0.184,0.56,0.051
